Country,Rank,Artist,Song Count
LT,4,TV Girl,137
LT,5,Arctic Monkeys,126
LU,1,Gazo,245
LU,2,Dua Lipa,108
LU,3,Dave,106
LU,4,Taylor Swift,103
LU,5,Sia,95
LV,1,The Weeknd,192
LV,2,Kanye West,174
LV,3,Arctic Monkeys,129
LV,4,Singapūras Satīns,108
LV,5,Doja Cat,93
MA,1,ElGrandeToto,1028
MA,2,Morad,291
MA,3,Draganov,237
MA,4,Inkonnu,222
MA,5,Bo9al,217
MX,1,Peso Pluma,738
MX,2,Junior H,525
MX,3,Fuerza Regida,446
MX,4,Gabito Ballesteros,335
MX,5,Natanael Cano,335
MY,1,Jung Kook,254
MY,2,The Weeknd,247
MY,3,Taylor Swift,223
MY,4,SZA,149
MY,5,JENNIE,148
NG,1,ODUMODUBLVCK,536
NG,2,Shallipopi,494
NG,3,Asake,341
NG,4,Young Jonn,286
NG,5,Seyi Vibez,260
NI,1,Bad Bunny,962
NI,2,Feid,476
NI,3,Peso Pluma,352
NI,4,Carin Leon,314
NI,5,Grupo Frontera,294
NL,1,Kevin,122
NL,2,Tate McRae,107
NL,3,Taylor Swift,103
NL,4,Boef,97
NL,5,Marco Schuitmaker,88
NO,1,UNDERGRUNN,191
NO,2,Kurt Nilsen,134
NO,3,The Norwegian Radio Orchestra,134
NO,4,Emma Steinbakken,111
NO,5,Golfklubb,100
NZ,1,Taylor Swift,304
NZ,2,SZA,201
NZ,3,Doja Cat,146
NZ,4,Zach Bryan,144
NZ,5,Fleetwood Mac,126
PA,1,Bad Bunny,1019
PA,2,Feid,479
PA,3,KAROL G,299
PA,4,Valentino GRM,297
PA,5,SMILE BEATS,231
PE,1,Feid,598
PE,2,Bad Bunny,545
PE,3,KAROL G,372
PE,4,Milo j,240
PE,5,Grupo Frontera,211
PH,1,Taylor Swift,367
PH,2,Hev Abi,217
PH,3,Jung Kook,156
PH,4,Lola Amour,150
PH,5,wave to earth,122
PK,1,Shubh,504
PK,2,Arijit Singh,340
PK,3,AP Dhillon,306
PK,4,Karan Aujla,255
PK,5,Ikky,255
PL,1,PRO8L3M,268
PL,2,Jonatan,218
PL,3,Gibbs,210
PL,4,bambi,208
PL,5,@atutowy,149
PT,1,Slow J,437
PT,2,Van Zee,388
PT,3,Ivandro,247
PT,4,Veigh,190
PT,5,Dillaz,164
PY,1,Grupo Frontera,486
PY,2,Feid,464
PY,3,Ke Personajes,461
PY,4,Peso Pluma,402
PY,5,Bad Bunny,381
RO,1,RAVA,407
RO,2,Manele Mentolate,384
RO,3,Tzanca Uraganu,344
RO,4,Bogdan DLP,192
RO,5,IDK,166
SA,1,Jung Kook,331
SA,2,V,217
SA,3,The Weeknd,212
SA,4,Taylor Swift,176
SA,5,Cigarettes After Sex,162
SE,1,Bolaget,215
SE,2,Ant Wan,171
SE,3,Humlan Djojj,145
SE,4,Josefine Götestam,145
SE,5,Yasin,98
SG,1,Taylor Swift,533
SG,2,Jung Kook,308
SG,3,NewJeans,287
SG,4,JENNIE,152
SG,5,Doja Cat,148
SK,1,Viktor Sheen,526
SK,2,Separ,507
SK,3,Calin,288
SK,4,Peter Pann,192
SK,5,Pil C,173
SV,1,Bad Bunny,1041
SV,2,Feid,496
SV,3,Peso Pluma,393
SV,4,Grupo Frontera,296
SV,5,KAROL G,248
TH,1,Jung Kook,295
TH,2,LISA,150
TH,3,LANDOKMAI,150
TH,4,JENNIE,135
TH,5,Mirrr,132
TR,1,Semicenk,441
TR,2,BLOK3,374
TR,3,UZI,225
TR,4,Azer Bülbül,165
TR,5,Burak Bulut,133
TW,1,NewJeans,259
TW,2,Jung Kook,242
TW,3,Jay Chou,175
TW,4,IVE,169
TW,5,理想混蛋,161
UA,1,Klavdia Petrivna,334
UA,2,YAKTAK,192
UA,3,KOLA,176
UA,4,DOROFEEVA,170
UA,5,SadSvit,147
US,1,Taylor Swift,445
US,2,Drake,260
US,3,SZA,190
US,4,Zach Bryan,158
US,5,Morgan Wallen,153
UY,1,BM,523
UY,2,Emilia,513
UY,3,Milo j,470
UY,4,Big One,375
UY,5,Maria Becerra,323
VE,1,Bad Bunny,944
VE,2,Feid,712
VE,3,Mora,518
VE,4,KAROL G,325
VE,5,Young Miko,224
VN,1,tlinh,387
VN,2,RPT MCK,338
VN,3,Jung Kook,279
VN,4,Wren Evans,270
VN,5,Low G,238
ZA,1,DJ Maphorisa,285
ZA,2,Eemoh,263
ZA,3,Kabza De Small,251
ZA,4,LeeMcKrazy,225
ZA,5,Lwah Ndlunkulu,178
