name,artists,daily_rank,country,snapshot_date,album_name,danceability,energy,acousticness,valence
Love Somebody,Morgan Wallen,1,US,2024-10-21,Love Somebody,0.619,0.843,0.00948,0.746
Die With A Smile,"Lady Gaga, Bruno Mars",2,US,2024-10-21,Die With A Smile,0.521,0.592,0.308,0.535
Taste,Sabrina Carpenter,3,US,2024-10-21,Short n' Sweet,0.674,0.907,0.101,0.721
BIRDS OF A FEATHER,Billie Eilish,4,US,2024-10-21,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
APT.,"ROSÉ, Bruno Mars",5,US,2024-10-21,APT.,0.777,0.783,0.0283,0.939
"Good Luck, Babe!",Chappell Roan,6,US,2024-10-21,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
Who,Jimin,7,US,2024-10-21,MUSE,0.66,0.756,0.00289,0.838
Espresso,Sabrina Carpenter,8,US,2024-10-21,Short n' Sweet,0.699,0.776,0.131,0.708
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",9,US,2024-10-21,Timeless,0.769,0.722,0.0584,0.57
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",10,US,2024-10-21,F-1 Trillion,0.644,0.874,0.0113,0.753
A Bar Song (Tipsy),Shaboozey,11,US,2024-10-21,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
Sailor Song,Gigi Perez,12,US,2024-10-21,Sailor Song,0.494,0.413,0.682,0.273
HOT TO GO!,Chappell Roan,13,US,2024-10-21,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
Please Please Please,Sabrina Carpenter,14,US,2024-10-21,Short n' Sweet,0.675,0.586,0.257,0.621
Bed Chem,Sabrina Carpenter,15,US,2024-10-21,Short n' Sweet,0.739,0.727,0.0678,0.676
"I Love You, I'm Sorry",Gracie Abrams,16,US,2024-10-21,The Secret of Us,0.53,0.406,0.656,0.338
Pink Pony Club,Chappell Roan,17,US,2024-10-21,The Rise and Fall of a Midwest Princess,0.61,0.65,0.399,0.507
Beautiful Things,Benson Boone,18,US,2024-10-21,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
WILDFLOWER,Billie Eilish,19,US,2024-10-21,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Not Like Us,Kendrick Lamar,20,US,2024-10-21,Not Like Us,0.898,0.472,0.0107,0.214
MILLION DOLLAR BABY,Tommy Richman,21,US,2024-10-21,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
Lose Control,Teddy Swims,22,US,2024-10-21,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",23,US,2024-10-21,Flower Boy,0.558,0.559,0.371,0.62
Night Changes,One Direction,24,US,2024-10-21,FOUR (Deluxe),0.672,0.52,0.859,0.37
Stick Season,Noah Kahan,25,US,2024-10-21,Stick Season,0.664,0.5,0.799,0.801
Something in the Orange,Zach Bryan,26,US,2024-10-21,Something in the Orange,0.369,0.192,0.555,0.148
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",27,US,2024-10-21,Zach Bryan,0.429,0.453,0.554,0.155
Sweater Weather,The Neighbourhood,28,US,2024-10-21,I Love You.,0.612,0.807,0.0495,0.398
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",29,US,2024-10-21,UTOPIA,0.569,0.882,0.0316,0.201
Pink Skies,Zach Bryan,30,US,2024-10-21,Pink Skies,0.525,0.488,0.191,0.253
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",31,US,2024-10-21,One Thing At A Time,0.621,0.779,0.216,0.399
Tu Boda,"Oscar Maydon, Fuerza Regida",32,US,2024-10-21,Tu Boda,0.694,0.651,0.496,0.471
NIGHTS LIKE THIS,The Kid LAROI,33,US,2024-10-21,THE FIRST TIME,0.482,0.757,0.0137,0.12
Too Sweet,Hozier,34,US,2024-10-21,Unreal Unearth: Unaired,0.74,0.643,0.041,0.96
Story of My Life,One Direction,35,US,2024-10-21,Midnight Memories (Deluxe),0.6,0.663,0.225,0.286
one of wun,Gunna,36,US,2024-10-21,One of Wun,0.915,0.453,0.0872,0.287
Juno,Sabrina Carpenter,37,US,2024-10-21,Short n' Sweet,0.633,0.725,0.0461,0.64
LA PATRULLA,"Peso Pluma, Neton Vega",38,US,2024-10-21,ÉXODO,0.722,0.74,0.68,0.893
Mmhmm,BigXthaPlug,39,US,2024-10-21,THE BIGGEST,0.93,0.682,0.028,0.962
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,40,US,2024-10-21,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
NEL,Fuerza Regida,41,US,2024-10-21,PERO NO TE ENAMORES,0.69,0.482,0.523,0.356
Slow It Down,Benson Boone,42,US,2024-10-21,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Red Wine Supernova,Chappell Roan,43,US,2024-10-21,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
No One Noticed,The Marías,44,US,2024-10-21,Submarine,0.705,0.339,0.552,0.457
Austin (Boots Stop Workin'),Dasha,45,US,2024-10-21,What Happens Now?,0.756,0.672,0.464,0.739
Good Graces,Sabrina Carpenter,46,US,2024-10-21,Short n' Sweet,0.758,0.759,0.329,0.732
Guess featuring billie eilish,"Charli xcx, Billie Eilish",47,US,2024-10-21,Brat and it’s completely different but also still brat,0.78,0.713,0.0167,0.615
Diet Pepsi,Addison Rae,48,US,2024-10-21,Diet Pepsi,0.669,0.561,0.495,0.841
Last Night,Morgan Wallen,49,US,2024-10-21,One Thing At A Time,0.492,0.673,0.413,0.488
Heading South,Zach Bryan,50,US,2024-10-21,Heading South,0.68,0.246,0.783,0.388
Love Somebody,Morgan Wallen,1,US,2024-10-20,Love Somebody,0.619,0.843,0.00948,0.746
Die With A Smile,"Lady Gaga, Bruno Mars",2,US,2024-10-20,Die With A Smile,0.521,0.592,0.308,0.535
BIRDS OF A FEATHER,Billie Eilish,3,US,2024-10-20,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
Taste,Sabrina Carpenter,4,US,2024-10-20,Short n' Sweet,0.674,0.907,0.101,0.721
"Good Luck, Babe!",Chappell Roan,5,US,2024-10-20,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",6,US,2024-10-20,Timeless,0.769,0.722,0.0584,0.57
Who,Jimin,7,US,2024-10-20,MUSE,0.66,0.756,0.00289,0.838
Sailor Song,Gigi Perez,8,US,2024-10-20,Sailor Song,0.494,0.413,0.682,0.273
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",9,US,2024-10-20,F-1 Trillion,0.644,0.874,0.0113,0.753
Espresso,Sabrina Carpenter,10,US,2024-10-20,Short n' Sweet,0.699,0.776,0.131,0.708
APT.,"ROSÉ, Bruno Mars",11,US,2024-10-20,APT.,0.777,0.783,0.0283,0.939
A Bar Song (Tipsy),Shaboozey,12,US,2024-10-20,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
"I Love You, I'm Sorry",Gracie Abrams,13,US,2024-10-20,The Secret of Us,0.53,0.406,0.656,0.338
Please Please Please,Sabrina Carpenter,14,US,2024-10-20,Short n' Sweet,0.675,0.586,0.257,0.621
HOT TO GO!,Chappell Roan,15,US,2024-10-20,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
Bed Chem,Sabrina Carpenter,16,US,2024-10-20,Short n' Sweet,0.739,0.727,0.0678,0.676
WILDFLOWER,Billie Eilish,17,US,2024-10-20,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Night Changes,One Direction,18,US,2024-10-20,FOUR (Deluxe),0.672,0.52,0.859,0.37
Pink Pony Club,Chappell Roan,19,US,2024-10-20,The Rise and Fall of a Midwest Princess,0.61,0.65,0.399,0.507
Beautiful Things,Benson Boone,20,US,2024-10-20,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
Lose Control,Teddy Swims,21,US,2024-10-20,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
Not Like Us,Kendrick Lamar,22,US,2024-10-20,Not Like Us,0.898,0.472,0.0107,0.214
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",23,US,2024-10-20,Zach Bryan,0.429,0.453,0.554,0.155
MILLION DOLLAR BABY,Tommy Richman,24,US,2024-10-20,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
Stick Season,Noah Kahan,25,US,2024-10-20,Stick Season,0.664,0.5,0.799,0.801
Story of My Life,One Direction,26,US,2024-10-20,Midnight Memories (Deluxe),0.6,0.663,0.225,0.286
Sweater Weather,The Neighbourhood,27,US,2024-10-20,I Love You.,0.612,0.807,0.0495,0.398
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",28,US,2024-10-20,Flower Boy,0.558,0.559,0.371,0.62
Something in the Orange,Zach Bryan,29,US,2024-10-20,Something in the Orange,0.369,0.192,0.555,0.148
That’s So True,Gracie Abrams,30,US,2024-10-20,The Secret of Us (Deluxe),0.554,0.808,0.214,0.372
NIGHTS LIKE THIS,The Kid LAROI,31,US,2024-10-20,THE FIRST TIME,0.482,0.757,0.0137,0.12
Pink Skies,Zach Bryan,32,US,2024-10-20,Pink Skies,0.525,0.488,0.191,0.253
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",33,US,2024-10-20,One Thing At A Time,0.621,0.779,0.216,0.399
No One Noticed,The Marías,34,US,2024-10-20,Submarine,0.705,0.339,0.552,0.457
Too Sweet,Hozier,35,US,2024-10-20,Unreal Unearth: Unaired,0.741,0.62,0.0295,0.934
Juno,Sabrina Carpenter,36,US,2024-10-20,Short n' Sweet,0.633,0.725,0.0461,0.64
one of wun,Gunna,37,US,2024-10-20,One of Wun,0.915,0.453,0.0872,0.287
Mmhmm,BigXthaPlug,38,US,2024-10-20,THE BIGGEST,0.93,0.682,0.028,0.962
LA PATRULLA,"Peso Pluma, Neton Vega",39,US,2024-10-20,ÉXODO,0.722,0.74,0.68,0.893
Slow It Down,Benson Boone,40,US,2024-10-20,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Tu Boda,"Oscar Maydon, Fuerza Regida",41,US,2024-10-20,Tu Boda,0.694,0.651,0.496,0.471
Lies Lies Lies,Morgan Wallen,42,US,2024-10-20,Lies Lies Lies,0.486,0.702,0.239,0.382
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",43,US,2024-10-20,UTOPIA,0.569,0.882,0.0316,0.201
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,44,US,2024-10-20,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
Red Wine Supernova,Chappell Roan,45,US,2024-10-20,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
Good Graces,Sabrina Carpenter,46,US,2024-10-20,Short n' Sweet,0.758,0.759,0.329,0.732
Diet Pepsi,Addison Rae,47,US,2024-10-20,Diet Pepsi,0.669,0.561,0.495,0.841
Guess featuring billie eilish,"Charli xcx, Billie Eilish",48,US,2024-10-20,Brat and it’s completely different but also still brat,0.78,0.713,0.0167,0.615
Austin (Boots Stop Workin'),Dasha,49,US,2024-10-20,What Happens Now?,0.756,0.672,0.464,0.739
Or What,"NLE Choppa, 41, Kyle Richh",50,US,2024-10-20,SLUT SZN,0.731,0.586,0.116,0.147
Die With A Smile,"Lady Gaga, Bruno Mars",1,US,2024-10-19,Die With A Smile,0.521,0.592,0.308,0.535
BIRDS OF A FEATHER,Billie Eilish,2,US,2024-10-19,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
Taste,Sabrina Carpenter,3,US,2024-10-19,Short n' Sweet,0.674,0.907,0.101,0.721
"Good Luck, Babe!",Chappell Roan,4,US,2024-10-19,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",5,US,2024-10-19,Timeless,0.769,0.722,0.0584,0.57
Sailor Song,Gigi Perez,6,US,2024-10-19,Sailor Song,0.494,0.413,0.682,0.273
Who,Jimin,7,US,2024-10-19,MUSE,0.66,0.756,0.00289,0.838
Espresso,Sabrina Carpenter,8,US,2024-10-19,Short n' Sweet,0.699,0.776,0.131,0.708
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",9,US,2024-10-19,F-1 Trillion,0.644,0.874,0.0113,0.753
"I Love You, I'm Sorry",Gracie Abrams,10,US,2024-10-19,The Secret of Us,0.53,0.406,0.656,0.338
A Bar Song (Tipsy),Shaboozey,11,US,2024-10-19,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
Please Please Please,Sabrina Carpenter,12,US,2024-10-19,Short n' Sweet,0.675,0.586,0.257,0.621
Bed Chem,Sabrina Carpenter,13,US,2024-10-19,Short n' Sweet,0.739,0.727,0.0678,0.676
HOT TO GO!,Chappell Roan,14,US,2024-10-19,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
WILDFLOWER,Billie Eilish,15,US,2024-10-19,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Night Changes,One Direction,16,US,2024-10-19,FOUR (Deluxe),0.672,0.52,0.859,0.37
Pink Pony Club,Chappell Roan,17,US,2024-10-19,The Rise and Fall of a Midwest Princess,0.61,0.65,0.399,0.507
Beautiful Things,Benson Boone,18,US,2024-10-19,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",19,US,2024-10-19,Zach Bryan,0.429,0.453,0.554,0.155
Not Like Us,Kendrick Lamar,20,US,2024-10-19,Not Like Us,0.898,0.472,0.0107,0.214
Lose Control,Teddy Swims,21,US,2024-10-19,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
Stick Season,Noah Kahan,22,US,2024-10-19,Stick Season,0.664,0.5,0.799,0.801
Sweater Weather,The Neighbourhood,23,US,2024-10-19,I Love You.,0.612,0.807,0.0495,0.398
Story of My Life,One Direction,24,US,2024-10-19,Midnight Memories (Deluxe),0.6,0.663,0.225,0.286
NIGHTS LIKE THIS,The Kid LAROI,25,US,2024-10-19,THE FIRST TIME,0.482,0.757,0.0137,0.12
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",26,US,2024-10-19,Flower Boy,0.558,0.559,0.371,0.62
MILLION DOLLAR BABY,Tommy Richman,27,US,2024-10-19,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
Something in the Orange,Zach Bryan,28,US,2024-10-19,Something in the Orange,0.369,0.192,0.555,0.148
No One Noticed,The Marías,29,US,2024-10-19,Submarine,0.705,0.339,0.552,0.457
Pink Skies,Zach Bryan,30,US,2024-10-19,Pink Skies,0.525,0.488,0.191,0.253
one of wun,Gunna,31,US,2024-10-19,One of Wun,0.915,0.453,0.0872,0.287
Juno,Sabrina Carpenter,32,US,2024-10-19,Short n' Sweet,0.633,0.725,0.0461,0.64
Too Sweet,Hozier,33,US,2024-10-19,Unreal Unearth: Unaired,0.741,0.62,0.0295,0.934
Slow It Down,Benson Boone,34,US,2024-10-19,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Mmhmm,BigXthaPlug,35,US,2024-10-19,THE BIGGEST,0.93,0.682,0.028,0.962
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",36,US,2024-10-19,One Thing At A Time,0.621,0.779,0.216,0.399
LA PATRULLA,"Peso Pluma, Neton Vega",37,US,2024-10-19,ÉXODO,0.722,0.74,0.68,0.893
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,38,US,2024-10-19,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
Good Graces,Sabrina Carpenter,39,US,2024-10-19,Short n' Sweet,0.758,0.759,0.329,0.732
Lies Lies Lies,Morgan Wallen,40,US,2024-10-19,Lies Lies Lies,0.486,0.702,0.239,0.382
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",41,US,2024-10-19,UTOPIA,0.569,0.882,0.0316,0.201
Red Wine Supernova,Chappell Roan,42,US,2024-10-19,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
Or What,"NLE Choppa, 41, Kyle Richh",43,US,2024-10-19,SLUT SZN,0.731,0.586,0.116,0.147
Diet Pepsi,Addison Rae,44,US,2024-10-19,Diet Pepsi,0.669,0.561,0.495,0.841
Guess featuring billie eilish,"Charli xcx, Billie Eilish",45,US,2024-10-19,Brat and it’s completely different but also still brat,0.78,0.713,0.0167,0.615
Pink + White,Frank Ocean,46,US,2024-10-19,Blonde,0.545,0.545,0.667,0.549
Heading South,Zach Bryan,47,US,2024-10-19,Heading South,0.68,0.246,0.783,0.388
Austin (Boots Stop Workin'),Dasha,48,US,2024-10-19,What Happens Now?,0.756,0.672,0.464,0.739
My Love Mine All Mine,Mitski,49,US,2024-10-19,The Land Is Inhospitable and So Are We,0.504,0.308,0.868,0.121
Sun to Me,Zach Bryan,50,US,2024-10-19,American Heartbreak,0.505,0.27,0.593,0.557
Die With A Smile,"Lady Gaga, Bruno Mars",1,US,2024-10-18,Die With A Smile,0.521,0.592,0.308,0.535
Taste,Sabrina Carpenter,2,US,2024-10-18,Short n' Sweet,0.674,0.907,0.101,0.721
BIRDS OF A FEATHER,Billie Eilish,3,US,2024-10-18,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
"Good Luck, Babe!",Chappell Roan,4,US,2024-10-18,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",5,US,2024-10-18,Timeless,0.769,0.722,0.0584,0.57
Sailor Song,Gigi Perez,6,US,2024-10-18,Sailor Song,0.494,0.413,0.682,0.273
Who,Jimin,7,US,2024-10-18,MUSE,0.66,0.756,0.00289,0.838
Espresso,Sabrina Carpenter,8,US,2024-10-18,Short n' Sweet,0.699,0.776,0.131,0.708
"I Love You, I'm Sorry",Gracie Abrams,9,US,2024-10-18,The Secret of Us,0.53,0.406,0.656,0.338
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",10,US,2024-10-18,F-1 Trillion,0.644,0.874,0.0113,0.753
A Bar Song (Tipsy),Shaboozey,11,US,2024-10-18,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
Bed Chem,Sabrina Carpenter,12,US,2024-10-18,Short n' Sweet,0.739,0.727,0.0678,0.676
Please Please Please,Sabrina Carpenter,13,US,2024-10-18,Short n' Sweet,0.675,0.586,0.257,0.621
HOT TO GO!,Chappell Roan,14,US,2024-10-18,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
WILDFLOWER,Billie Eilish,15,US,2024-10-18,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
Pink Pony Club,Chappell Roan,16,US,2024-10-18,The Rise and Fall of a Midwest Princess,0.61,0.65,0.399,0.507
Beautiful Things,Benson Boone,17,US,2024-10-18,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
Not Like Us,Kendrick Lamar,18,US,2024-10-18,Not Like Us,0.898,0.472,0.0107,0.214
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",19,US,2024-10-18,Zach Bryan,0.429,0.453,0.554,0.155
Stick Season,Noah Kahan,20,US,2024-10-18,Stick Season,0.664,0.5,0.799,0.801
Sweater Weather,The Neighbourhood,21,US,2024-10-18,I Love You.,0.613,0.808,0.0426,0.38
MILLION DOLLAR BABY,Tommy Richman,22,US,2024-10-18,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
NIGHTS LIKE THIS,The Kid LAROI,23,US,2024-10-18,THE FIRST TIME,0.482,0.757,0.0137,0.12
Lose Control,Teddy Swims,24,US,2024-10-18,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
Something in the Orange,Zach Bryan,25,US,2024-10-18,Something in the Orange,0.369,0.192,0.555,0.148
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",26,US,2024-10-18,Flower Boy,0.558,0.559,0.371,0.62
Pink Skies,Zach Bryan,27,US,2024-10-18,Pink Skies,0.525,0.488,0.191,0.253
No One Noticed,The Marías,28,US,2024-10-18,Submarine,0.705,0.339,0.552,0.457
Juno,Sabrina Carpenter,29,US,2024-10-18,Short n' Sweet,0.633,0.725,0.0461,0.64
Too Sweet,Hozier,30,US,2024-10-18,Unreal Unearth: Unaired,0.74,0.643,0.041,0.96
one of wun,Gunna,31,US,2024-10-18,One of Wun,0.915,0.453,0.0872,0.287
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,32,US,2024-10-18,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
Slow It Down,Benson Boone,33,US,2024-10-18,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Good Graces,Sabrina Carpenter,34,US,2024-10-18,Short n' Sweet,0.758,0.759,0.329,0.732
LA PATRULLA,"Peso Pluma, Neton Vega",35,US,2024-10-18,ÉXODO,0.722,0.74,0.68,0.893
Mmhmm,BigXthaPlug,36,US,2024-10-18,THE BIGGEST,0.93,0.682,0.028,0.962
Guess featuring billie eilish,"Charli xcx, Billie Eilish",37,US,2024-10-18,Brat and it’s completely different but also still brat,0.78,0.713,0.0167,0.615
Diet Pepsi,Addison Rae,38,US,2024-10-18,Diet Pepsi,0.669,0.561,0.495,0.841
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",39,US,2024-10-18,One Thing At A Time,0.621,0.779,0.216,0.399
Or What,"NLE Choppa, 41, Kyle Richh",40,US,2024-10-18,SLUT SZN,0.731,0.586,0.116,0.147
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",41,US,2024-10-18,UTOPIA,0.569,0.882,0.0316,0.201
Red Wine Supernova,Chappell Roan,42,US,2024-10-18,The Rise and Fall of a Midwest Princess,0.657,0.82,0.0176,0.709
Sympathy is a knife featuring ariana grande,"Charli xcx, Ariana Grande",43,US,2024-10-18,Brat and it’s completely different but also still brat,0.711,0.603,0.0962,0.339
Lies Lies Lies,Morgan Wallen,44,US,2024-10-18,Lies Lies Lies,0.486,0.702,0.239,0.382
Pink + White,Frank Ocean,45,US,2024-10-18,Blonde,0.545,0.545,0.667,0.549
Heading South,Zach Bryan,46,US,2024-10-18,Heading South,0.68,0.246,0.783,0.388
Last Night,Morgan Wallen,47,US,2024-10-18,One Thing At A Time,0.492,0.673,0.413,0.488
My Love Mine All Mine,Mitski,48,US,2024-10-18,The Land Is Inhospitable and So Are We,0.504,0.308,0.868,0.121
Austin (Boots Stop Workin'),Dasha,49,US,2024-10-18,What Happens Now?,0.756,0.672,0.464,0.739
Sun to Me,Zach Bryan,50,US,2024-10-18,American Heartbreak,0.505,0.27,0.593,0.557
Taste,Sabrina Carpenter,1,US,2024-10-17,Short n' Sweet,0.674,0.907,0.101,0.721
Die With A Smile,"Lady Gaga, Bruno Mars",2,US,2024-10-17,Die With A Smile,0.521,0.592,0.308,0.535
BIRDS OF A FEATHER,Billie Eilish,3,US,2024-10-17,HIT ME HARD AND SOFT,0.747,0.507,0.2,0.438
"Good Luck, Babe!",Chappell Roan,4,US,2024-10-17,"Good Luck, Babe!",0.7,0.582,0.0502,0.785
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",5,US,2024-10-17,Timeless,0.769,0.722,0.0584,0.57
Sailor Song,Gigi Perez,6,US,2024-10-17,Sailor Song,0.494,0.413,0.682,0.273
Who,Jimin,7,US,2024-10-17,MUSE,0.66,0.756,0.00289,0.838
Espresso,Sabrina Carpenter,8,US,2024-10-17,Short n' Sweet,0.699,0.776,0.131,0.708
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",9,US,2024-10-17,F-1 Trillion,0.644,0.874,0.0113,0.753
A Bar Song (Tipsy),Shaboozey,10,US,2024-10-17,"Where I've Been, Isn't Where I'm Going",0.722,0.706,0.072,0.599
"I Love You, I'm Sorry",Gracie Abrams,11,US,2024-10-17,The Secret of Us,0.53,0.406,0.656,0.338
Bed Chem,Sabrina Carpenter,12,US,2024-10-17,Short n' Sweet,0.739,0.727,0.0678,0.676
Please Please Please,Sabrina Carpenter,13,US,2024-10-17,Short n' Sweet,0.675,0.586,0.257,0.621
HOT TO GO!,Chappell Roan,14,US,2024-10-17,The Rise and Fall of a Midwest Princess,0.742,0.757,0.0187,0.957
WILDFLOWER,Billie Eilish,15,US,2024-10-17,HIT ME HARD AND SOFT,0.467,0.247,0.612,0.126
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",16,US,2024-10-17,Zach Bryan,0.429,0.453,0.554,0.155
Pink Pony Club,Chappell Roan,17,US,2024-10-17,The Rise and Fall of a Midwest Princess,0.61,0.65,0.399,0.507
Not Like Us,Kendrick Lamar,18,US,2024-10-17,Not Like Us,0.898,0.472,0.0107,0.214
Stick Season,Noah Kahan,19,US,2024-10-17,Stick Season,0.664,0.5,0.799,0.801
Beautiful Things,Benson Boone,20,US,2024-10-17,Fireworks & Rollerblades,0.472,0.471,0.151,0.219
MILLION DOLLAR BABY,Tommy Richman,21,US,2024-10-17,MILLION DOLLAR BABY,0.852,0.697,0.0973,0.919
Sweater Weather,The Neighbourhood,22,US,2024-10-17,I Love You.,0.612,0.807,0.0495,0.398
NIGHTS LIKE THIS,The Kid LAROI,23,US,2024-10-17,THE FIRST TIME,0.482,0.757,0.0137,0.12
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",24,US,2024-10-17,Flower Boy,0.558,0.559,0.371,0.62
Pink Skies,Zach Bryan,25,US,2024-10-17,Pink Skies,0.525,0.488,0.191,0.253
Lose Control,Teddy Swims,26,US,2024-10-17,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.199,0.242
Something in the Orange,Zach Bryan,27,US,2024-10-17,Something in the Orange,0.369,0.192,0.555,0.148
Juno,Sabrina Carpenter,28,US,2024-10-17,Short n' Sweet,0.633,0.725,0.0461,0.64
No One Noticed,The Marías,29,US,2024-10-17,Submarine,0.705,0.339,0.552,0.457
Too Sweet,Hozier,30,US,2024-10-17,Unreal Unearth: Unaired,0.741,0.62,0.0295,0.934
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,31,US,2024-10-17,Ain't No Love In Oklahoma (From Twisters: The Album),0.487,0.658,0.00877,0.282
Good Graces,Sabrina Carpenter,32,US,2024-10-17,Short n' Sweet,0.758,0.759,0.329,0.732
Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",33,US,2024-10-17,One Thing At A Time,0.621,0.779,0.216,0.399
Guess featuring billie eilish,"Charli xcx, Billie Eilish",34,US,2024-10-17,Brat and it’s completely different but also still brat,0.78,0.713,0.0167,0.615
Slow It Down,Benson Boone,35,US,2024-10-17,Fireworks & Rollerblades,0.432,0.583,0.174,0.544
Mmhmm,BigXthaPlug,36,US,2024-10-17,THE BIGGEST,0.93,0.682,0.028,0.962
LA PATRULLA,"Peso Pluma, Neton Vega",37,US,2024-10-17,ÉXODO,0.722,0.74,0.68,0.893
Diet Pepsi,Addison Rae,38,US,2024-10-17,Diet Pepsi,0.669,0.561,0.495,0.841
Sympathy is a knife featuring ariana grande,"Charli xcx, Ariana Grande",39,US,2024-10-17,Brat and it’s completely different but also still brat,0.711,0.603,0.0962,0.339
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",40,US,2024-10-17,UTOPIA,0.569,0.882,0.0316,0.201
Pink + White,Frank Ocean,41,US,2024-10-17,Blonde,0.545,0.545,0.667,0.549
My Love Mine All Mine,Mitski,42,US,2024-10-17,The Land Is Inhospitable and So Are We,0.504,0.308,0.868,0.121
